subject_csv,MSE,RMSE,MAE,MAPE,MedianAE,R2,nRMSE,Spearman,Kendall
SPACE SCIENCE.csv,931.9432827411011,30.52774611302153,21.73948339621226,34.34242756410216,14.36667251586914,0.7730725705570729,0.13507852262398906,0.9053408597481546,0.7659574468085107
MICROBIOLOGY.csv,1585.797354799687,39.82207120178064,27.732716090930914,11.764575825809597,18.00301742553711,0.9698764822171957,0.050027727640427934,0.9954163593423535,0.9480100958417547
MULTIDISCIPLINARY.csv,2381.373019923878,48.7993137239027,32.08690412478013,70.7738407516661,19.924278259277344,0.2526306884507087,0.2368898724461296,0.5572938689217759,0.4397463002114164
ECONOMICS & BUSINESS.csv,2944.4680864645584,54.26295316755768,34.864537160330954,50.13995465154715,23.717884063720703,0.896507738491041,0.10011614975564148,0.9540889493329037,0.8548126783034673
PHYSICS.csv,3224.64330375286,56.78594283581862,41.12387941830122,16.712078523572877,30.080718994140625,0.9609461651403713,0.05753388331896516,0.9961135206767587,0.9628182028937895
MATHEMATICS.csv,3428.1208718325706,58.550156889905686,35.97590371626842,20.05747077733203,17.5025634765625,0.7446590914225175,0.15012860741001458,0.8809625238866103,0.7616883116883117
COMPUTER SCIENCE.csv,3811.9725850256773,61.74117414680156,45.99185815711931,22.13261794945638,30.8531494140625,0.9396813207206732,0.07212753989112332,0.9991053642249008,0.981479619120504
IMMUNOLOGY.csv,6445.61332325368,80.28457711947968,48.75618714801336,10.570620939658879,18.984466552734375,0.9412813659635468,0.06861929668331597,0.9832233974080987,0.9112152902993147
PSYCHIATRY PSYCHOLOGY.csv,7631.794646925069,87.36014335453594,61.44169084300166,20.290658243554134,39.867393493652344,0.9265435281601975,0.07683389916845729,0.9938696777653524,0.9544643258182034
PHARMACOLOGY & TOXICOLOGY.csv,8085.751963755337,89.92080940335967,68.57901216067856,12.46983298172595,46.609161376953125,0.9468994370535626,0.06520725845058714,0.9992771121014876,0.9824288016971614
AGRICULTURAL SCIENCES.csv,10752.644224322949,103.69495756459399,75.87576784123583,16.660534211040183,46.141876220703125,0.926725091475492,0.0753049800629193,0.9985860779564985,0.9751075888160411
MOLECULAR BIOLOGY & GENETICS.csv,11212.678616018366,105.88993633022152,66.42257333413149,13.376853777997653,26.4766845703125,0.8972609495370352,0.0913631892409159,0.9776353354067768,0.9031382404629863
NEUROSCIENCE & BEHAVIOR.csv,13605.395729986785,116.6421696042507,76.75773159540617,11.107178959704394,35.43182373046875,0.8993389975380786,0.09091361628289375,0.9725583533339381,0.9025053092163506
GEOSCIENCES.csv,15549.919234772387,124.69931529391967,81.47049909551093,14.698167376585117,38.97772216796875,0.8584166032016608,0.10731438497856381,0.9885248569538019,0.9263226817093232
BIOLOGY & BIOCHEMISTRY.csv,26567.729923822946,162.99610401424613,129.95326831124046,24.83643079062761,93.44418334960938,0.8815038489649679,0.10030529477799761,0.998788785635959,0.9776082975537773
MATERIALS SCIENCE.csv,31750.231646593907,178.18594682688618,130.39863931076437,26.377782792949557,81.21121215820312,0.8478080874338063,0.11436838692354698,0.9883366324208077,0.9362266425557564
ENVIRONMENT ECOLOGY.csv,44999.21834934842,212.13019197970954,167.12907767180658,26.237335734753685,129.62621307373047,0.8731479734852129,0.10383269308845303,0.9925263739473208,0.9443326704877762
PLANT & ANIMAL SCIENCE.csv,58324.17053936099,241.50397623923502,188.28959573599008,32.65619723164592,129.96517181396484,0.8234539763603327,0.12435838117365346,0.9982532628300016,0.9663032447692025
"SOCIAL SCIENCES, GENERAL.csv",92936.07243083375,304.85418224264816,228.62232184212237,27.034003908244593,131.01516723632812,0.8122577687620811,0.12734092825507443,0.9979845709259716,0.9785958342701733
ENGINEERING.csv,136021.26834425743,368.8106131122821,291.9993727215729,40.784714471256045,210.4397735595703,0.7936631776803411,0.13280900724244946,0.9993000942267278,0.9824194496140601
CHEMISTRY.csv,147756.1541012941,384.3906269685749,286.297197355257,32.73567575694513,182.4337158203125,0.6205018496793859,0.18038039745123177,0.9886418723690281,0.926812265182155
CLINICAL MEDICINE.csv,1199369.3190925003,1095.1572120442345,759.5493192369191,55.6873247530224,394.030517578125,0.6922653308888703,0.162534463051979,0.9442078359776671,0.8253829900059033
