university,AGRICULTURAL SCIENCES,BIOLOGY & BIOCHEMISTRY,CHEMISTRY,CLINICAL MEDICINE,COMPUTER SCIENCE,ECONOMICS & BUSINESS,ENGINEERING,ENVIRONMENT ECOLOGY,GEOSCIENCES,IMMUNOLOGY,MATERIALS SCIENCE,MATHEMATICS,MICROBIOLOGY,MOLECULAR BIOLOGY & GENETICS,MULTIDISCIPLINARY,NEUROSCIENCE & BEHAVIOR,PHARMACOLOGY & TOXICOLOGY,PHYSICS,PLANT & ANIMAL SCIENCE,PSYCHIATRY PSYCHOLOGY,"SOCIAL SCIENCES, GENERAL",SPACE SCIENCE
SUN YAT SEN UNIVERSITY,155.0,91.0,39.0,102.0,43.0,139.0,69.0,57.0,63.0,101.0,46.0,89.0,86.0,58.0,101.0,264.0,19.0,119.0,181.0,420.0,143.0,
SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN,83.0,29.0,13.0,624.0,10.0,78.0,23.0,5.0,9.0,200.0,16.0,7.0,43.0,78.0,32.0,87.0,215.0,11.0,57.0,318.0,127.0,76.0
TECHNICAL UNIVERSITY OF DENMARK,204.0,78.0,134.0,1216.0,135.0,,65.0,164.0,299.0,502.0,213.0,143.0,116.0,479.0,135.0,636.0,224.0,288.0,156.0,,514.0,164.0
TECHNICAL UNIVERSITY OF MUNICH,86.0,97.0,106.0,179.0,115.0,318.0,138.0,136.0,207.0,149.0,253.0,124.0,230.0,103.0,128.0,139.0,429.0,132.0,178.0,297.0,317.0,
TECHNISCHE UNIVERSITAT DRESDEN,608.0,265.0,202.0,301.0,427.0,,403.0,498.0,649.0,303.0,128.0,,598.0,254.0,162.0,203.0,816.0,190.0,778.0,188.0,521.0,
TEL AVIV UNIVERSITY,982.0,227.0,662.0,107.0,509.0,430.0,772.0,476.0,694.0,102.0,611.0,238.0,288.0,200.0,216.0,173.0,315.0,189.0,399.0,133.0,248.0,187.0
TEXAS A&M UNIVERSITY COLLEGE STATION,84.0,204.0,112.0,844.0,255.0,68.0,91.0,139.0,119.0,458.0,179.0,48.0,205.0,318.0,191.0,577.0,308.0,231.0,66.0,182.0,138.0,182.0
TEXAS A&M UNIVERSITY SYSTEM,62.0,168.0,103.0,733.0,178.0,36.0,78.0,97.0,97.0,406.0,174.0,31.0,141.0,292.0,167.0,532.0,275.0,209.0,51.0,158.0,107.0,169.0
TONGJI UNIVERSITY,1090.0,217.0,141.0,420.0,56.0,268.0,16.0,66.0,141.0,398.0,49.0,221.0,473.0,177.0,,529.0,163.0,447.0,1663.0,823.0,261.0,
TSINGHUA UNIVERSITY,335.0,85.0,7.0,535.0,2.0,67.0,2.0,9.0,55.0,236.0,5.0,101.0,152.0,147.0,30.0,477.0,414.0,12.0,398.0,558.0,169.0,222.0
UK RESEARCH & INNOVATION (UKRI),51.0,88.0,267.0,793.0,,,889.0,120.0,29.0,218.0,589.0,,46.0,118.0,155.0,521.0,535.0,88.0,19.0,464.0,480.0,
UNITED STATES DEPARTMENT OF AGRICULTURE (USDA),3.0,179.0,756.0,1476.0,738.0,,899.0,14.0,138.0,546.0,953.0,,29.0,248.0,145.0,,650.0,,4.0,,435.0,
UNITED STATES DEPARTMENT OF ENERGY (DOE),183.0,18.0,3.0,1065.0,65.0,,9.0,11.0,10.0,523.0,2.0,79.0,9.0,122.0,9.0,569.0,423.0,3.0,50.0,,341.0,21.0
UNIV BRETAGNE LOIRE,79.0,140.0,98.0,115.0,51.0,240.0,82.0,55.0,59.0,150.0,197.0,15.0,62.0,260.0,170.0,227.0,94.0,181.0,34.0,418.0,339.0,197.0
UNIV LYON COMUE,252.0,180.0,151.0,306.0,324.0,,288.0,311.0,298.0,219.0,342.0,83.0,130.0,251.0,,183.0,218.0,122.0,197.0,442.0,627.0,131.0
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,412.0,241.0,340.0,833.0,,,572.0,142.0,260.0,499.0,583.0,316.0,177.0,553.0,,420.0,257.0,338.0,81.0,839.0,596.0,113.0
UNIVERSIDADE DE LISBOA,144.0,354.0,219.0,386.0,330.0,391.0,105.0,137.0,204.0,412.0,434.0,202.0,295.0,490.0,,320.0,164.0,149.0,112.0,433.0,252.0,203.0
UNIVERSIDADE DE SAO PAULO,19.0,74.0,146.0,95.0,247.0,530.0,218.0,64.0,190.0,99.0,334.0,92.0,51.0,224.0,103.0,114.0,44.0,182.0,20.0,153.0,170.0,167.0
UNIVERSIDADE DO PORTO,72.0,233.0,270.0,285.0,406.0,513.0,166.0,154.0,811.0,393.0,400.0,,266.0,327.0,,363.0,54.0,719.0,145.0,450.0,364.0,
UNIVERSITE CLAUDE BERNARD LYON 1,560.0,209.0,204.0,332.0,731.0,,692.0,462.0,387.0,229.0,651.0,163.0,156.0,270.0,,199.0,236.0,172.0,314.0,524.0,869.0,132.0
UNIVERSITE DE MONTPELLIER,94.0,157.0,169.0,264.0,722.0,277.0,503.0,45.0,186.0,159.0,380.0,303.0,80.0,178.0,188.0,220.0,272.0,672.0,32.0,343.0,442.0,
UNIVERSITE DE MONTREAL,553.0,249.0,553.0,125.0,116.0,127.0,174.0,378.0,707.0,204.0,543.0,,224.0,191.0,129.0,112.0,273.0,367.0,334.0,136.0,118.0,
UNIVERSITE PARIS CITE,246.0,45.0,228.0,18.0,450.0,,728.0,252.0,44.0,9.0,480.0,10.0,11.0,31.0,33.0,61.0,26.0,28.0,183.0,114.0,218.0,13.0
UNIVERSITE PARIS SACLAY,65.0,53.0,80.0,89.0,61.0,381.0,106.0,72.0,32.0,123.0,176.0,23.0,44.0,87.0,78.0,122.0,107.0,8.0,43.0,407.0,303.0,22.0
UNIVERSITE PSL,681.0,120.0,133.0,476.0,371.0,390.0,351.0,79.0,82.0,281.0,254.0,47.0,364.0,114.0,196.0,256.0,899.0,48.0,106.0,445.0,551.0,18.0
UNIVERSITY COLLEGE LONDON,590.0,33.0,95.0,13.0,72.0,66.0,111.0,82.0,104.0,25.0,152.0,118.0,142.0,26.0,44.0,6.0,20.0,64.0,355.0,9.0,9.0,31.0
UNIVERSITY OF ADELAIDE,146.0,450.0,205.0,190.0,161.0,251.0,129.0,156.0,164.0,425.0,200.0,,513.0,332.0,,308.0,598.0,219.0,111.0,251.0,247.0,
UNIVERSITY OF ALABAMA SYSTEM,618.0,218.0,566.0,74.0,461.0,190.0,494.0,612.0,500.0,113.0,571.0,,218.0,222.0,,119.0,320.0,300.0,713.0,134.0,121.0,
UNIVERSITY OF ALBERTA,77.0,117.0,210.0,124.0,123.0,147.0,94.0,111.0,128.0,287.0,313.0,222.0,110.0,419.0,,282.0,201.0,382.0,148.0,218.0,155.0,
UNIVERSITY OF AMSTERDAM,602.0,169.0,338.0,38.0,358.0,105.0,1385.0,270.0,931.0,45.0,941.0,331.0,112.0,121.0,138.0,55.0,192.0,195.0,202.0,17.0,28.0,81.0
UNIVERSITY OF ARIZONA,458.0,300.0,744.0,277.0,414.0,174.0,486.0,110.0,76.0,433.0,975.0,,244.0,295.0,159.0,251.0,331.0,285.0,162.0,198.0,167.0,27.0
UNIVERSITY OF BARCELONA,184.0,187.0,192.0,63.0,789.0,517.0,864.0,178.0,309.0,60.0,455.0,,281.0,140.0,115.0,64.0,90.0,251.0,139.0,70.0,217.0,116.0
UNIVERSITY OF BASEL,1229.0,166.0,441.0,198.0,,,1949.0,291.0,766.0,91.0,928.0,,190.0,166.0,168.0,126.0,148.0,442.0,505.0,197.0,338.0,
UNIVERSITY OF BERN,585.0,314.0,617.0,136.0,564.0,470.0,2446.0,145.0,96.0,146.0,1149.0,,193.0,266.0,185.0,159.0,352.0,269.0,154.0,145.0,245.0,174.0
UNIVERSITY OF BIRMINGHAM,563.0,135.0,460.0,100.0,149.0,136.0,201.0,283.0,303.0,163.0,295.0,389.0,200.0,372.0,106.0,301.0,253.0,105.0,572.0,170.0,150.0,166.0
UNIVERSITY OF BOLOGNA,97.0,343.0,212.0,174.0,282.0,202.0,264.0,399.0,337.0,411.0,495.0,278.0,291.0,424.0,,277.0,186.0,117.0,179.0,220.0,312.0,118.0
UNIVERSITY OF BONN,150.0,267.0,375.0,357.0,619.0,283.0,1539.0,478.0,330.0,131.0,,82.0,277.0,207.0,87.0,150.0,264.0,206.0,195.0,377.0,495.0,124.0
UNIVERSITY OF BRISTOL,674.0,206.0,287.0,173.0,200.0,265.0,330.0,271.0,72.0,342.0,473.0,146.0,398.0,169.0,141.0,275.0,256.0,198.0,173.0,113.0,61.0,
UNIVERSITY OF BRITISH COLUMBIA,139.0,71.0,232.0,72.0,54.0,144.0,128.0,31.0,172.0,110.0,258.0,113.0,101.0,149.0,74.0,63.0,136.0,130.0,44.0,42.0,32.0,137.0
UNIVERSITY OF CALGARY,624.0,328.0,424.0,117.0,455.0,299.0,280.0,506.0,249.0,214.0,657.0,,155.0,401.0,203.0,79.0,248.0,,418.0,108.0,188.0,
UNIVERSITY OF CALIFORNIA BERKELEY,399.0,31.0,35.0,631.0,71.0,13.0,75.0,24.0,71.0,276.0,60.0,21.0,59.0,81.0,26.0,120.0,678.0,19.0,64.0,89.0,62.0,12.0
UNIVERSITY OF CALIFORNIA DAVIS,24.0,73.0,296.0,270.0,230.0,126.0,338.0,52.0,166.0,199.0,457.0,157.0,73.0,135.0,61.0,121.0,283.0,247.0,12.0,68.0,160.0,149.0
UNIVERSITY OF CALIFORNIA IRVINE,1115.0,280.0,235.0,276.0,146.0,274.0,409.0,183.0,93.0,409.0,357.0,203.0,340.0,230.0,175.0,99.0,363.0,215.0,846.0,117.0,164.0,181.0
UNIVERSITY OF CALIFORNIA LOS ANGELES,820.0,47.0,120.0,33.0,304.0,85.0,223.0,123.0,69.0,69.0,80.0,37.0,107.0,39.0,64.0,28.0,145.0,97.0,302.0,25.0,34.0,90.0
UNIVERSITY OF CALIFORNIA SAN DIEGO,838.0,20.0,150.0,60.0,155.0,154.0,161.0,215.0,53.0,35.0,130.0,164.0,26.0,24.0,15.0,27.0,61.0,131.0,149.0,54.0,102.0,154.0
UNIVERSITY OF CALIFORNIA SAN FRANCISCO,983.0,26.0,864.0,20.0,,,,1031.0,,22.0,1564.0,,67.0,19.0,42.0,10.0,98.0,,1781.0,62.0,50.0,
UNIVERSITY OF CALIFORNIA SYSTEM,11.0,1.0,5.0,3.0,3.0,2.0,6.0,2.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0
UNIVERSITY OF CAMBRIDGE,601.0,19.0,55.0,81.0,89.0,32.0,97.0,67.0,74.0,93.0,58.0,26.0,58.0,18.0,19.0,35.0,157.0,22.0,79.0,35.0,19.0,17.0
UNIVERSITY OF CHICAGO,1092.0,139.0,193.0,105.0,671.0,10.0,1278.0,712.0,432.0,129.0,354.0,43.0,127.0,64.0,43.0,245.0,399.0,30.0,803.0,104.0,113.0,50.0
