university,AGRICULTURAL SCIENCES,BIOLOGY & BIOCHEMISTRY,CHEMISTRY,CLINICAL MEDICINE,COMPUTER SCIENCE,ECONOMICS & BUSINESS,ENGINEERING,ENVIRONMENT ECOLOGY,GEOSCIENCES,IMMUNOLOGY,MATERIALS SCIENCE,MATHEMATICS,MICROBIOLOGY,MOLECULAR BIOLOGY & GENETICS,MULTIDISCIPLINARY,NEUROSCIENCE & BEHAVIOR,PHARMACOLOGY & TOXICOLOGY,PHYSICS,PLANT & ANIMAL SCIENCE,PSYCHIATRY PSYCHOLOGY,"SOCIAL SCIENCES, GENERAL",SPACE SCIENCE
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,503.0,95.0,223.0,62.0,383.0,108.0,547.0,244.0,483.0,57.0,302.0,108.0,48.0,50.0,158.0,86.0,29.0,840.0,287.0,32.0,18.0,
UNIVERSITY OF NOTTINGHAM,188.0,260.0,369.0,227.0,522.0,94.0,118.0,420.0,516.0,500.0,280.0,,278.0,447.0,,257.0,139.0,425.0,160.0,144.0,156.0,156.0
UNIVERSITY OF OSAKA,,190.0,118.0,373.0,370.0,,498.0,1758.0,1134.0,196.0,228.0,,347.0,174.0,,358.0,597.0,129.0,980.0,814.0,883.0,
UNIVERSITY OF OSLO,630.0,182.0,620.0,101.0,203.0,440.0,676.0,290.0,132.0,207.0,977.0,330.0,279.0,153.0,,101.0,233.0,343.0,366.0,92.0,79.0,150.0
UNIVERSITY OF OTTAWA,565.0,317.0,463.0,94.0,291.0,284.0,519.0,373.0,436.0,420.0,809.0,,498.0,314.0,,192.0,475.0,699.0,696.0,129.0,76.0,
UNIVERSITY OF OXFORD,261.0,24.0,69.0,28.0,84.0,26.0,137.0,26.0,57.0,17.0,119.0,22.0,19.0,23.0,11.0,24.0,105.0,25.0,83.0,21.0,6.0,44.0
UNIVERSITY OF PADUA,147.0,146.0,339.0,169.0,194.0,373.0,200.0,355.0,286.0,216.0,460.0,200.0,511.0,232.0,,221.0,173.0,71.0,137.0,107.0,431.0,42.0
UNIVERSITY OF PENNSYLVANIA,709.0,44.0,234.0,16.0,281.0,15.0,552.0,867.0,1055.0,20.0,209.0,55.0,53.0,21.0,34.0,17.0,77.0,185.0,252.0,26.0,30.0,228.0
UNIVERSITY OF PITTSBURGH,994.0,72.0,290.0,35.0,343.0,222.0,563.0,691.0,848.0,34.0,347.0,136.0,111.0,79.0,176.0,42.0,124.0,254.0,1109.0,37.0,98.0,
UNIVERSITY OF QUEENSLAND,25.0,66.0,129.0,99.0,270.0,76.0,133.0,15.0,189.0,100.0,104.0,,55.0,68.0,83.0,107.0,39.0,556.0,48.0,41.0,29.0,
UNIVERSITY OF SHEFFIELD,724.0,293.0,472.0,273.0,285.0,152.0,179.0,233.0,329.0,504.0,231.0,,465.0,398.0,,303.0,517.0,154.0,315.0,205.0,96.0,
UNIVERSITY OF SOUTHAMPTON,444.0,378.0,425.0,195.0,121.0,149.0,190.0,221.0,107.0,203.0,414.0,,343.0,347.0,210.0,295.0,533.0,101.0,463.0,191.0,136.0,138.0
UNIVERSITY OF SOUTHERN CALIFORNIA,,123.0,479.0,131.0,148.0,35.0,309.0,577.0,266.0,301.0,422.0,207.0,143.0,102.0,109.0,68.0,274.0,626.0,1088.0,81.0,70.0,
UNIVERSITY OF SYDNEY,73.0,150.0,245.0,31.0,58.0,71.0,92.0,129.0,373.0,88.0,216.0,,70.0,130.0,98.0,49.0,65.0,273.0,92.0,53.0,26.0,114.0
UNIVERSITY OF TENNESSEE SYSTEM,206.0,320.0,187.0,288.0,544.0,151.0,175.0,328.0,539.0,395.0,109.0,248.0,170.0,450.0,,349.0,167.0,161.0,141.0,369.0,229.0,
UNIVERSITY OF TEXAS AUSTIN,1232.0,167.0,93.0,667.0,141.0,82.0,117.0,212.0,56.0,852.0,97.0,69.0,145.0,368.0,113.0,235.0,228.0,77.0,279.0,60.0,56.0,71.0
UNIVERSITY OF TEXAS SYSTEM,357.0,10.0,30.0,6.0,17.0,12.0,36.0,92.0,34.0,11.0,34.0,12.0,7.0,7.0,16.0,16.0,9.0,38.0,123.0,11.0,12.0,47.0
UNIVERSITY OF TOKYO,421.0,75.0,60.0,203.0,348.0,,157.0,255.0,70.0,226.0,123.0,141.0,134.0,92.0,54.0,177.0,241.0,13.0,86.0,353.0,311.0,30.0
UNIVERSITY OF TORONTO,248.0,27.0,82.0,8.0,82.0,48.0,102.0,94.0,133.0,49.0,127.0,90.0,103.0,27.0,29.0,11.0,48.0,100.0,153.0,10.0,10.0,49.0
UNIVERSITY OF UTAH,1164.0,242.0,332.0,114.0,545.0,294.0,569.0,405.0,243.0,319.0,533.0,319.0,420.0,131.0,206.0,186.0,255.0,703.0,656.0,138.0,115.0,230.0
UNIVERSITY OF VIENNA,352.0,178.0,368.0,1911.0,719.0,396.0,1471.0,200.0,188.0,1145.0,816.0,72.0,168.0,301.0,,871.0,342.0,479.0,163.0,241.0,220.0,224.0
UNIVERSITY OF VIRGINIA,,237.0,591.0,180.0,533.0,164.0,613.0,598.0,686.0,162.0,503.0,362.0,427.0,267.0,199.0,210.0,702.0,314.0,1023.0,119.0,176.0,148.0
UNIVERSITY OF WARWICK,924.0,322.0,261.0,336.0,208.0,45.0,276.0,1113.0,,735.0,407.0,68.0,325.0,607.0,,346.0,1030.0,192.0,617.0,238.0,198.0,180.0
UNIVERSITY OF WASHINGTON,611.0,28.0,217.0,22.0,186.0,70.0,212.0,38.0,31.0,19.0,140.0,35.0,30.0,28.0,20.0,37.0,74.0,52.0,87.0,36.0,16.0,85.0
UNIVERSITY OF WASHINGTON SEATTLE,614.0,30.0,221.0,23.0,196.0,83.0,225.0,41.0,33.0,21.0,142.0,36.0,33.0,29.0,21.0,38.0,75.0,56.0,93.0,39.0,17.0,91.0
UNIVERSITY OF WESTERN AUSTRALIA,53.0,243.0,736.0,168.0,485.0,192.0,254.0,89.0,131.0,252.0,549.0,,386.0,246.0,,222.0,318.0,411.0,29.0,106.0,174.0,121.0
UNIVERSITY OF WISCONSIN MADISON,60.0,93.0,117.0,176.0,31.0,143.0,238.0,70.0,106.0,178.0,212.0,65.0,56.0,136.0,,129.0,285.0,113.0,69.0,78.0,68.0,141.0
UNIVERSITY OF WISCONSIN SYSTEM,56.0,81.0,97.0,166.0,27.0,56.0,156.0,50.0,89.0,171.0,175.0,42.0,47.0,119.0,184.0,104.0,250.0,53.0,54.0,57.0,33.0,93.0
UNIVERSITY OF ZURICH,439.0,49.0,461.0,116.0,440.0,101.0,842.0,152.0,239.0,59.0,926.0,61.0,76.0,108.0,,69.0,300.0,135.0,75.0,73.0,139.0,
UNIVERSITY SYSTEM OF GEORGIA,89.0,61.0,65.0,302.0,28.0,9.0,46.0,40.0,121.0,134.0,24.0,33.0,31.0,165.0,53.0,161.0,123.0,148.0,28.0,44.0,22.0,193.0
UNIVERSITY SYSTEM OF MARYLAND,140.0,94.0,188.0,191.0,144.0,46.0,119.0,44.0,19.0,111.0,122.0,120.0,71.0,163.0,75.0,98.0,121.0,32.0,120.0,46.0,38.0,36.0
UNIVERSITY SYSTEM OF OHIO,44.0,21.0,26.0,14.0,83.0,5.0,50.0,33.0,80.0,14.0,38.0,27.0,18.0,43.0,69.0,18.0,17.0,23.0,38.0,7.0,7.0,40.0
UPPSALA UNIVERSITY,697.0,151.0,225.0,172.0,633.0,355.0,592.0,230.0,288.0,302.0,245.0,291.0,216.0,146.0,102.0,240.0,113.0,194.0,237.0,286.0,158.0,208.0
US DEPARTMENT OF VETERANS AFFAIRS,1029.0,82.0,1475.0,34.0,,,,,,47.0,1168.0,,138.0,93.0,112.0,21.0,60.0,,,14.0,54.0,
US DEPT HLTH HUMAN SERVICES,125.0,7.0,208.0,10.0,395.0,,1653.0,222.0,,1.0,465.0,,2.0,8.0,10.0,9.0,3.0,,330.0,34.0,11.0,
UTAH SYSTEM OF HIGHER EDUCATION,397.0,207.0,200.0,110.0,308.0,165.0,378.0,134.0,165.0,304.0,451.0,193.0,316.0,116.0,150.0,174.0,221.0,468.0,208.0,88.0,82.0,205.0
UTRECHT UNIVERSITY,259.0,113.0,302.0,84.0,439.0,206.0,558.0,43.0,42.0,58.0,459.0,,42.0,75.0,59.0,72.0,31.0,519.0,74.0,33.0,27.0,
VANDERBILT UNIVERSITY,,119.0,601.0,55.0,266.0,293.0,867.0,1040.0,1074.0,66.0,587.0,,128.0,80.0,,128.0,183.0,465.0,1609.0,84.0,108.0,
VETERANS HEALTH ADMINISTRATION (VHA),1057.0,87.0,1493.0,37.0,,,,,,48.0,1236.0,,139.0,95.0,125.0,22.0,67.0,,,16.0,66.0,
VRIJE UNIVERSITEIT AMSTERDAM,514.0,213.0,685.0,86.0,578.0,77.0,1229.0,144.0,158.0,224.0,1053.0,,376.0,132.0,195.0,43.0,249.0,346.0,710.0,22.0,49.0,
WAGENINGEN UNIVERSITY & RESEARCH,8.0,161.0,669.0,658.0,524.0,332.0,658.0,10.0,147.0,571.0,1468.0,,52.0,506.0,,969.0,461.0,,14.0,,124.0,
WASHINGTON UNIVERSITY (WUSTL),1040.0,64.0,670.0,50.0,555.0,178.0,963.0,563.0,477.0,33.0,608.0,,54.0,42.0,81.0,34.0,301.0,677.0,511.0,116.0,122.0,
WUHAN UNIVERSITY,288.0,202.0,51.0,244.0,23.0,220.0,44.0,128.0,20.0,206.0,48.0,81.0,172.0,203.0,,342.0,116.0,272.0,545.0,562.0,154.0,
YALE UNIVERSITY,770.0,56.0,183.0,40.0,608.0,38.0,775.0,74.0,179.0,32.0,404.0,175.0,118.0,45.0,24.0,32.0,156.0,121.0,259.0,15.0,41.0,111.0
YANGZHOU UNIVERSITY,61.0,557.0,160.0,2061.0,249.0,,304.0,776.0,,865.0,202.0,,189.0,752.0,,,515.0,932.0,140.0,,,
ZHEJIANG UNIVERSITY,13.0,52.0,11.0,170.0,13.0,89.0,11.0,25.0,145.0,84.0,10.0,137.0,45.0,59.0,131.0,187.0,14.0,67.0,30.0,321.0,171.0,
