university,AGRICULTURAL SCIENCES,BIOLOGY & BIOCHEMISTRY,CHEMISTRY,CLINICAL MEDICINE,COMPUTER SCIENCE,ECONOMICS & BUSINESS,ENGINEERING,ENVIRONMENT ECOLOGY,GEOSCIENCES,IMMUNOLOGY,MATERIALS SCIENCE,MATHEMATICS,MICROBIOLOGY,MOLECULAR BIOLOGY & GENETICS,MULTIDISCIPLINARY,NEUROSCIENCE & BEHAVIOR,PHARMACOLOGY & TOXICOLOGY,PHYSICS,PLANT & ANIMAL SCIENCE,PSYCHIATRY PSYCHOLOGY,"SOCIAL SCIENCES, GENERAL",SPACE SCIENCE
LEIDEN UNIVERSITY MEDICAL CENTER (LUMC),,228.0,1541.0,127.0,,,,,,119.0,,,228.0,141.0,121.0,162.0,265.0,,,260.0,536.0,
LEIPZIG UNIVERSITY,918.0,405.0,682.0,346.0,,,,298.0,499.0,586.0,1117.0,,500.0,382.0,,265.0,572.0,872.0,535.0,174.0,600.0,
LONDON BUSINESS SCHOOL,,,,,,100.0,,,,,,,,,,,,,,,,
LONDON SCHOOL ECONOMICS & POLITICAL SCIENCE,,,,1347.0,,17.0,,1420.0,,,,,,,,,,,,289.0,77.0,
LOUGHBOROUGH UNIVERSITY,1151.0,1508.0,840.0,1693.0,360.0,187.0,269.0,1046.0,792.0,,718.0,,,,,,,,,571.0,255.0,
MACQUARIE UNIVERSITY,1168.0,636.0,1047.0,690.0,269.0,91.0,439.0,196.0,268.0,,845.0,,551.0,746.0,,374.0,854.0,,186.0,143.0,201.0,226.0
MCLEAN HOSPITAL,,,,4386.0,,,,,,,,,,,,370.0,,,,167.0,1856.0,
MONTPELLIER BUSINESS SCHOOL,,,,,,95.0,1363.0,,,,,,,,,,,,,,564.0,
NATIONAL BUREAU OF ECONOMIC RESEARCH,,,,3684.0,,1.0,,,,,,,,,,,,,,,403.0,
NEW YORK STATE PSYCHIATRY INSTITUTE,,,,2490.0,,,,,,,,,,,,286.0,,,,95.0,648.0,
NIH NATIONAL INSTITUTE OF MENTAL HEALTH (NIMH),,1313.0,,3615.0,,,,,,,,,,854.0,,194.0,,,,159.0,1780.0,
NORTHEASTERN UNIVERSITY,,514.0,720.0,580.0,331.0,125.0,467.0,705.0,,,391.0,,647.0,763.0,172.0,424.0,286.0,336.0,1723.0,219.0,226.0,
NORTHWELL HEALTH,,,,364.0,,,,,,463.0,,,,804.0,,403.0,,,,179.0,1310.0,
NOTTINGHAM TRENT UNIVERSITY,,,1667.0,3058.0,,423.0,1257.0,1360.0,,,,,,,,,,,1494.0,193.0,668.0,
