university,AGRICULTURAL SCIENCES,BIOLOGY & BIOCHEMISTRY,CHEMISTRY,CLINICAL MEDICINE,COMPUTER SCIENCE,ECONOMICS & BUSINESS,ENGINEERING,ENVIRONMENT ECOLOGY,GEOSCIENCES,IMMUNOLOGY,MATERIALS SCIENCE,MATHEMATICS,MICROBIOLOGY,MOLECULAR BIOLOGY & GENETICS,MULTIDISCIPLINARY,NEUROSCIENCE & BEHAVIOR,PHARMACOLOGY & TOXICOLOGY,PHYSICS,PLANT & ANIMAL SCIENCE,PSYCHIATRY PSYCHOLOGY,"SOCIAL SCIENCES, GENERAL",SPACE SCIENCE
POLYTECHNIC UNIVERSITY OF MILAN,,1325.0,487.0,2370.0,180.0,160.0,70.0,534.0,668.0,,273.0,98.0,,,,,,502.0,,,528.0,
SHANGHAI UNIVERSITY,,956.0,109.0,2831.0,111.0,323.0,98.0,452.0,1044.0,,68.0,135.0,,1139.0,,,1069.0,445.0,1610.0,,650.0,
SHENZHEN UNIVERSITY,405.0,467.0,89.0,1125.0,39.0,433.0,73.0,385.0,535.0,776.0,37.0,290.0,560.0,631.0,,574.0,335.0,233.0,717.0,497.0,425.0,
SMITHSONIAN INSTITUTION,1367.0,649.0,1821.0,,,,2654.0,56.0,244.0,,,,739.0,823.0,152.0,,,765.0,42.0,,919.0,7.0
SOOCHOW UNIVERSITY - CHINA,574.0,304.0,40.0,518.0,318.0,,189.0,677.0,,410.0,22.0,213.0,628.0,252.0,169.0,419.0,87.0,263.0,1702.0,666.0,1037.0,
SOUTH CHINA UNIVERSITY OF TECHNOLOGY,16.0,305.0,19.0,1664.0,37.0,400.0,25.0,259.0,800.0,1134.0,17.0,186.0,791.0,1084.0,,,624.0,432.0,1644.0,,786.0,
SOUTHEAST UNIVERSITY - CHINA,1037.0,433.0,86.0,750.0,5.0,,13.0,361.0,577.0,945.0,50.0,59.0,,489.0,,602.0,207.0,238.0,,949.0,330.0,
SOUTHWEST JIAOTONG UNIVERSITY,,,718.0,5670.0,97.0,335.0,48.0,1043.0,407.0,,157.0,,,,,,1342.0,793.0,,,825.0,
STOCKHOLM UNIVERSITY,937.0,200.0,304.0,1183.0,,225.0,1490.0,54.0,105.0,1160.0,733.0,,658.0,517.0,,533.0,832.0,188.0,329.0,222.0,100.0,72.0
SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES,85.0,641.0,1823.0,5328.0,,,1390.0,39.0,654.0,,,,290.0,788.0,,,,,27.0,,558.0,
TIANJIN UNIVERSITY,419.0,319.0,15.0,2913.0,47.0,249.0,15.0,135.0,338.0,,19.0,195.0,,,,,649.0,283.0,1584.0,,641.0,
UNITED STATES DEPARTMENT OF THE INTERIOR,839.0,1166.0,,,,,1596.0,12.0,22.0,,,,503.0,,,,,,53.0,,1083.0,
UNITED STATES GEOLOGICAL SURVEY,923.0,1284.0,,,,,1650.0,19.0,24.0,,,,540.0,,,,,,80.0,,1389.0,
UNIVERSITE DE TOULOUSE,199.0,226.0,190.0,342.0,311.0,195.0,229.0,109.0,43.0,293.0,329.0,80.0,246.0,276.0,,283.0,263.0,431.0,113.0,486.0,443.0,60.0
UNIVERSITE GRENOBLE ALPES (UGA),713.0,275.0,170.0,570.0,407.0,,232.0,190.0,51.0,593.0,188.0,188.0,446.0,493.0,,438.0,538.0,57.0,508.0,474.0,818.0,62.0
UNIVERSITE TOULOUSE III - PAUL SABATIER,497.0,283.0,249.0,361.0,582.0,,428.0,163.0,65.0,333.0,441.0,109.0,359.0,326.0,,311.0,310.0,498.0,175.0,965.0,853.0,64.0
UNIVERSITY OF CALIFORNIA SANTA BARBARA,1095.0,627.0,241.0,2678.0,795.0,271.0,515.0,95.0,175.0,,198.0,382.0,630.0,767.0,,831.0,1164.0,76.0,344.0,272.0,243.0,105.0
UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA,,550.0,144.0,1722.0,4.0,,32.0,919.0,409.0,,72.0,57.0,,907.0,,447.0,608.0,241.0,652.0,654.0,973.0,
UNIVERSITY OF SCIENCE & TECHNOLOGY BEIJING,,,131.0,,107.0,,77.0,482.0,540.0,,20.0,,,,,,,561.0,,,1538.0,
"UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS",1312.0,318.0,6.0,1450.0,45.0,303.0,30.0,240.0,174.0,392.0,7.0,93.0,652.0,480.0,,834.0,451.0,21.0,1037.0,1010.0,511.0,218.0
UNIVERSITY OF TECHNOLOGY SYDNEY,778.0,359.0,467.0,675.0,25.0,132.0,67.0,181.0,563.0,1140.0,238.0,,392.0,,,600.0,405.0,819.0,569.0,672.0,203.0,
UNIVERSITY OF WATERLOO,527.0,576.0,257.0,850.0,80.0,311.0,88.0,277.0,342.0,,162.0,156.0,524.0,,,762.0,837.0,309.0,1028.0,209.0,161.0,
WUHAN UNIVERSITY OF TECHNOLOGY,,1311.0,77.0,,219.0,,74.0,522.0,701.0,,31.0,,,,,,,657.0,,,1005.0,
XI'AN JIAOTONG UNIVERSITY,748.0,273.0,64.0,406.0,50.0,137.0,8.0,354.0,220.0,536.0,18.0,100.0,595.0,290.0,,409.0,100.0,200.0,,725.0,342.0,
XIAMEN UNIVERSITY,759.0,348.0,43.0,919.0,101.0,74.0,113.0,236.0,376.0,478.0,65.0,78.0,282.0,435.0,,849.0,369.0,416.0,474.0,,307.0,
XIDIAN UNIVERSITY,,,1241.0,3539.0,6.0,,66.0,,250.0,,411.0,,,,,,,691.0,,,2383.0,
ZHENGZHOU UNIVERSITY,448.0,219.0,28.0,326.0,217.0,,120.0,415.0,945.0,321.0,28.0,247.0,381.0,206.0,,372.0,70.0,358.0,912.0,862.0,679.0,
